id,lat,lng,name,area_grdc,area_delineator,lat_snapped,lng_snapped,dist_m
6401070,64.71072,-21.60337,Nordhura River at Stekkur,507,493.0,64.71000000000001,-21.60083333333333,145.0
6401080,64.69229,-21.41046,Hvita River at Kljafoss,1574,1718.8,64.6925,-21.411666666666665,62.0
6401090,63.93796,-21.00666,Olfusa River at Selfoss,5662,5754.5,63.93833333333333,-21.00583333333333,58.0
6401111,64.1601,-20.55913,Bruara River at Dynjandi,640,704.1,64.16,-20.559166666666666,11.0
6401120,63.93362,-20.63135,Thjorsa River at Krokur,7314,7276.1,63.93416666666666,-20.63,90.0
6401140,63.79723,-20.11284,Eystri-Ranga River at Tungufoss,419,510.1,63.7975,-20.112499999999997,34.0
6401150,63.86324,-20.34065,Ytri-Ranga River at Arbaejarfoss,621,563.1,63.86333333333334,-20.339999999999996,34.0
6401160,64.75281,-14.48605,Fossa River at Eyjolfsstadir,115,106.5,64.7525,-14.48583333333333,36.0
6401200,65.3297,-19.08525,Vestri-Jokulsa River at Godhdala Bru,844,872.0,65.33,-19.084999999999997,35.0
6401250,65.30184,-20.10668,Vatnsdalsa River at Forsaeludalur,458,465.8,65.30166666666666,-20.106666666666666,19.0
6401300,66.06976,-21.75298,Hvala River at Op,193,207.3,66.07000000000001,-21.751666666666665,65.0
6401310,65.58876,-23.12719,Vatnsdalsa River at Eidhi,102,99.2,65.58916666666667,-23.127499999999998,48.0
6401400,65.8507,-17.89667,Fnjoska River at Arbugsa,1102,1126.9,65.85083333333333,-17.897499999999997,41.0
6401460,66.19809,-15.59652,Sanda River at Flogubru I,266,267.1,66.19833333333332,-15.595833333333333,41.0
6401500,63.9509,-17.63609,Djupa River at Djupa Bru,226,642.1,63.950833333333335,-17.6375,70.0
6401601,65.49459,-19.384,Svarta River at Reykjafoss,396,389.1,65.49499999999999,-19.383333333333333,55.0
6401610,65.37076,-17.34691,Skjalfandafljot River at Aldeyjarfoss,2163,1925.3,65.37083333333334,-17.348333333333333,67.0
6401702,65.6233,-16.18933,Jokulsa River at Grimsstadir,5097,5378.0,65.62333333333333,-16.189166666666665,8.0
6401703,65.06074,-16.21187,Jokulsa River at  Upptyppingar,2023,1771.1,65.06083333333333,-16.21166666666667,14.0
6401800,65.50253,-14.36201,Lagarfljot River at Lagarfoss,2819,2830.4,65.5025,-14.361666666666665,16.0
