,d_p,d_t,p_t
6401070,0.9999852638123508,0.9844718184649272,0.9844858803066575
6401080,0.999985561449332,0.9999382907387845,0.9999527159794994
6401090,0.9999974734170897,0.9999427017022712,0.9999452254211357
6401111,0.9999846920745982,0.9999846920714707,0.9999999999999364
6401120,0.9999978724643976,0.9999947407966089,0.9999968683288778
6401140,0.9999936720185002,0.9999936720185005,0.9999999999998939
6401150,0.9999859332466008,0.9999859332466003,0.9999999999999767
6401160,0.9999868408105201,0.9999868408104917,0.9999999999998443
6401200,0.9999957249398249,0.9993707746100084,0.9993749792666463
6401250,0.9999793177302359,0.9999793177302394,0.9999999999999272
6401300,0.9999904652375348,0.9996016137612646,0.999611061749245
6401310,0.9999872857517812,0.9999872857517711,0.9999999999998579
6401400,0.9999823172759955,0.9999352504885504,0.9999529216214272
6401460,0.9999900560542807,0.9999378419795406,0.9999477538002363
6401500,0.9999940478273388,0.9990250076697198,0.9990308708429928
6401601,0.9999845797959699,0.9987403744502973,0.9987556938653764
6401610,0.9999947860636994,0.9999947860636988,0.99999999999998
6401702,0.9999973132774747,0.9999973132774759,0.999999999999991
6401703,0.9999968244501225,0.999976253363672,0.9999794238739315
6401800,0.9999944917321862,0.999994491732188,0.9999999999999752
