,id,lat,lng,name,area_grdc,delineated_area,lat_snapped,lng_snapped,area_pysheds,dist_m
0,6401070,64.71072,-21.60337,Nordhura River at Stekkur,507,,64.71041666666667,-21.60125,493.0,107.0
1,6401080,64.69229,-21.41046,Hvita River at Kljafoss,1574,,64.69291666666666,-21.409583333333334,1718.0,81.0
2,6401090,63.93796,-21.00666,Olfusa River at Selfoss,5662,,63.93875,-21.006249999999998,5754.0,90.0
3,6401111,64.1601,-20.55913,Bruara River at Dynjandi,640,,64.16041666666666,-20.559583333333332,704.0,42.0
4,6401120,63.93362,-20.63135,Thjorsa River at Krokur,7314,,63.934583333333336,-20.630416666666665,7276.0,117.0
5,6401140,63.79723,-20.11284,Eystri-Ranga River at Tungufoss,419,,63.797916666666666,-20.112916666666667,510.0,77.0
6,6401150,63.86324,-20.34065,Ytri-Ranga River at Arbaejarfoss,621,,63.863749999999996,-20.340416666666666,563.0,58.0
7,6401160,64.75281,-14.48605,Fossa River at Eyjolfsstadir,115,,64.75291666666666,-14.486249999999998,106.0,15.0
8,6401200,65.3297,-19.08525,Vestri-Jokulsa River at Godhdala Bru,844,,65.32958333333333,-19.085416666666667,871.0,15.0
9,6401250,65.30184,-20.10668,Vatnsdalsa River at Forsaeludalur,458,,65.30208333333333,-20.107083333333332,466.0,33.0
10,6401300,66.06976,-21.75298,Hvala River at Op,193,,66.06958333333333,-21.75208333333333,207.0,45.0
11,6401310,65.58876,-23.12719,Vatnsdalsa River at Eidhi,102,,65.58958333333334,-23.127916666666668,99.0,98.0
12,6401400,65.8507,-17.89667,Fnjoska River at Arbugsa,1102,,65.85041666666666,-17.897083333333335,1127.0,37.0
13,6401460,66.19809,-15.59652,Sanda River at Flogubru I,266,,66.19791666666667,-15.59625,267.0,23.0
14,6401500,63.9509,-17.63609,Djupa River at Djupa Bru,226,,63.952083333333334,-17.637083333333333,641.0,141.0
15,6401601,65.49459,-19.384,Svarta River at Reykjafoss,396,,65.49458333333334,-19.38375,389.0,12.0
16,6401610,65.37076,-17.34691,Skjalfandafljot River at Aldeyjarfoss,2163,,65.37041666666667,-17.347916666666666,1925.0,60.0
17,6401702,65.6233,-16.18933,Jokulsa River at Grimsstadir,5097,,65.62375,-16.18958333333333,5377.0,52.0
18,6401703,65.06074,-16.21187,Jokulsa River at  Upptyppingar,2023,,65.06041666666667,-16.212083333333332,1771.0,37.0
19,6401800,65.50253,-14.36201,Lagarfljot River at Lagarfoss,2819,,65.50291666666666,-14.362083333333333,2830.0,43.0
