id,lng,lat,name,area
1015800,-68.37176389,46.52300278,"Aroostook River near Masardis, Maine",2310
1092000,-71.46340028,42.94814056,"Merrimack R nr Goffs Falls, Below Manchester, NH",8008
1094000,-71.5061786,42.85758639,"Souhegan River at Merrimack, NH",443
1170500,-72.5745333,42.5786972,"Connecticut River at Montague City, MA",20357
1209901,-73.54929028,41.0656525,"Rippowam River at Stamford, CT",88
1318500,-73.84428934,43.31895998,Hudson River at Hadley NY,4310
1403060,-74.5483333,40.5511111,Raritan River Below Calco Dam at Bound Brook NJ,2033
1431500,-75.17211857,41.47620023,"Lackawaxen River at Hawley, PA",751
1464907,-75.11961605,40.22927456,Little Neshaminy C at Valley Road nr Neshaminy PA,69
1480870,-75.67327152,39.96871912,"East Branch Brandywine Creek Below Downingtown, PA",233
1488500,-75.67311111,38.84969444,"Marshyhope Creek Near Adamsville, DE",114
1520500,-77.13219424,42.02868499,Tioga River at Lindley NY,1997
1555500,-76.91191982,40.61119589,"East Mahantango Creek Near Dalmatia, PA",420
1567000,-77.1291484,40.47841677,"Juniata River at Newport, PA",8687
2070500,-79.99138889,36.53388889,"Mayo River Near Price, NC",627
2110500,-78.71501746,33.9126719,"Waccamaw River Near Longs, SC",2875
2131000,-79.54838961,34.20432518,"Pee Dee River at Peedee, SC",22870
2225500,-82.17734322,32.07852776,"Ohoopee River Near Reidsville, GA",2875
2226500,-82.32457114,31.23827371,"Satilla River Near Waycross, GA",3108
2299950,-82.21120106,27.47365137,"Manatee River at Sr 64 Near Myakka Head, FL",169
2365200,-85.84298995,30.94990438,"Choctawhatchee River nr Pittman, FlA.",8311
2374500,-86.9866403,31.41850006,Murder Creek Near Evergreen AL,456
3050000,-79.88173416,38.809275,"Tygart Valley River Near Dailey, WV",479
3072655,-79.92283293,39.82507696,"Monongahela River Near Masontown, PA",11500
3086000,-80.20561481,40.54923422,"Ohio River at Sewickley, PA",50505
3102500,-80.37617802,41.42199889,"Little Shenango River at Greenville, PA",269
3155000,-81.38956408,39.0589686,"Little Kanawha River at Palestine, WV",3926
3171000,-80.56922499,37.14179254,"New River at Radford, VA",7117
