site_no,SiteName,da_sqmi,da_km2,lon,lat
01015800,"Aroostook River near Masardis, Maine",892,2310,-68.37176389,46.52300278
01092000,"Merrimack R nr Goffs Falls, Below Manchester, NH",3092,8008,-71.46340028,42.94814056
01094000,"Souhegan River at Merrimack, NH",171,443,-71.5061786,42.85758639
01170500,"Connecticut River at Montague City, MA",7860,20357,-72.5745333,42.5786972
01209901,"Rippowam River at Stamford, CT",34,88,-73.54929028,41.0656525
01318500,Hudson River at Hadley NY,1664,4310,-73.84428934,43.31895998
01403060,Raritan River Below Calco Dam at Bound Brook NJ,785,2033,-74.5483333,40.5511111
01431500,"Lackawaxen River at Hawley, PA",290,751,-75.17211857,41.47620023
01464907,Little Neshaminy C at Valley Road nr Neshaminy PA,27,69,-75.11961605,40.22927456
01480870,"East Branch Brandywine Creek Below Downingtown, PA",90,233,-75.67327152,39.96871912
01488500,"Marshyhope Creek Near Adamsville, DE",44,114,-75.67311111,38.84969444
01520500,Tioga River at Lindley NY,771,1997,-77.13219424,42.02868499
01555500,"East Mahantango Creek Near Dalmatia, PA",162,420,-76.91191982,40.61119589
01567000,"Juniata River at Newport, PA",3354,8687,-77.1291484,40.47841677
02070500,"Mayo River Near Price, NC",242,627,-79.99138889,36.53388889
02110500,"Waccamaw River Near Longs, SC",1110,2875,-78.71501746,33.9126719
02131000,"Pee Dee River at Peedee, SC",8830,22870,-79.54838961,34.20432518
02225500,"Ohoopee River Near Reidsville, GA",1110,2875,-82.17734322,32.07852776
02226500,"Satilla River Near Waycross, GA",1200,3108,-82.32457114,31.23827371
02299950,"Manatee River at Sr 64 Near Myakka Head, FL",65,169,-82.21120106,27.47365137
02365200,"Choctawhatchee River nr Pittman, FlA.",3209,8311,-85.84298995,30.94990438
02374500,Murder Creek Near Evergreen AL,176,456,-86.9866403,31.41850006
03050000,"Tygart Valley River Near Dailey, WV",185,479,-79.88173416,38.809275
03072655,"Monongahela River Near Masontown, PA",4440,11500,-79.92283293,39.82507696
03086000,"Ohio River at Sewickley, PA",19500,50505,-80.20561481,40.54923422
03102500,"Little Shenango River at Greenville, PA",104,269,-80.37617802,41.42199889
03155000,"Little Kanawha River at Palestine, WV",1516,3926,-81.38956408,39.0589686
03171000,"New River at Radford, VA",2748,7117,-80.56922499,37.14179254
03180500,"Greenbrier River at Durbin, WV",133,344,-79.83311495,38.54372659
03208500,"Russell Fork at Haysi, VA",286,741,-82.29569932,37.20705367
03252500,"South Fork Licking River at Cynthiana, KY",621,1608,-84.30299045,38.39090804
03335000,"Wildcat Creek Near Lafayette, IN",794,2056,-86.82917518,40.44059108
03410500,"South Fork Cumberland River Near Stearns, KY",954,2471,-84.53327232,36.62702209
03424730,"Smith Fork at Temperance Hall, TN",214,554,-85.90745058,36.08731209
03479000,"Watauga River Near Sugar Grove, NC",92,239,-81.82222222,36.23916667
03588500,"Shoal Creek at Iron City, TN",348,901,-87.57903263,35.02412144
04099000,"St. Joseph River at Mottville, MI",1866,4833,-85.75610475,41.80088279
04100500,"Elkhart River at Goshen, IN",594,1538,-85.84860566,41.59338272
04172000,"Huron River Near Hamburg, MI",308,798,-83.79994301,42.46531193
05053000,"Wild Rice River nr Abercrombie, ND",2080,5387,-96.78369074,46.46801679
05060000,"Maple River nr Mapleton, ND",1450,3755,-97.10647707,46.86608263
05122000,"Souris River nr Bantry, ND",12300,31857,-100.4348534,48.50555109
05127000,"Kawishiwi River Near Winton, MN",1230,3186,-91.76402611,47.93462083
05275000,"Elk River Near Big Lake, MN",559,1448,-93.66690972,45.33385361
05433000,"East Branch Pecatonica River nr Blanchardville, WI",221,572,-89.86123493,42.78555775
05463000,"Beaver Creek at New Hartford, IA",347,899,-92.6179699,42.5727594
05479000,"East Fork Des Moines River at Dakota City, IA",1308,3388,-94.19348901,42.72358244
05481000,"Boone River Near Webster City, IA",844,2186,-93.80577623,42.43247506
05495000,"Fox River at Wayland, MO",400,1036,-91.597875,40.39240833
05515500,"Kankakee River at Davis, IN",537,1391,-86.70112916,41.40004234
05534500,"North Branch Chicago River at Deerfield, IL",20,51,-87.81867718,42.15280379
06050000,Hyalite C at Hyalite R S nr Bozeman MT,48,125,-111.070781,45.5615969
06120500,Musselshell River at Harlowton MT,1125,2914,-109.8407389,46.42995639
06178000,Poplar River at International Boundary,362,938,-105.6966739,48.99030167
06278300,"Shell Creek Above Shell Creek Reservoir, WY",23,60,-107.4036886,44.50801953
06336000,"Little Missouri River at Medora, ND",6190,16032,-103.5282426,46.91945839
06386500,"Cheyenne River Near Spencer, WY",5270,13649,-104.1316023,43.42108409
06478000,"James R Near Mitchell,SD",19064,49376,-97.91924031,43.65887165
06481000,"Big Sioux R Near Dell Rapids,SD",4483,11611,-96.74532896,43.7902515
06600500,"Floyd River at James, IA",886,2295,-96.31141563,42.57665963
06620000,"North Platte River Near Northgate, CO",1431,3706,-106.3383598,40.93747359
06715000,Clear Creek Abv West Fork Clear Creek nr Empire CO,86,223,-105.661947,39.75193193
06719505,"Clear Creek at Golden, CO",400,1036,-105.2352668,39.75304299
06856600,"Republican R at Clay Center, KS",24542,63563,-97.12757591,39.35568764
06870300,"Gypsum C nr Gypsum, KS",120,311,-97.4204357,38.65285999
06876000,"Solomon R at Beloit, KS",5530,14323,-98.11269584,39.45630408
06904500,"Chariton River at Novinger, MO",1370,3548,-92.686375,40.23433333
06906500,"Missouri River at Glasgow, MO",498900,1292145,-92.84879809,39.22225123
07026040,"Obion River at Hwy 51 Near Obion, TN",1875,4856,-89.21764405,36.24082943
07063000,"Black River at Poplar Bluff, MO",1245,3225,-90.3881,36.75956944
07086000,"Arkansas River at Granite, CO.",427,1106,-106.2658553,39.04277116
07156900,"Cimarron River Near Forgan, OK",8536,22108,-100.4918172,37.0111372
07195400,Illinois River at Hwy. 16 Near Siloam Springs AR,509,1318,-94.49444722,36.14471389
07238000,"North Canadian River Near Seiling, OK",12261,31756,-98.9212058,36.18337278
07242000,"North Canadian River Near Wetumka, OK",14290,37011,-96.2061167,35.26564556
07274000,"Yocona River nr Oxford, MS",262,679,-89.52138889,34.27333333
07282000,"Yalobusha R And Topashaw C Ca at Calhoun City, MS",295,764,-89.31555556,33.83861111
07288500,"Big Sunflower River at Sunflower, MS",767,1987,-90.5431441,33.54733973
07312200,"Beaver Ck nr Electra, TX",652,1689,-98.90506664,33.90592785
