id,name,lat,lng
9999999,"False River on Null Island",0.0,0.0
3650920,"Rio Toritama at Capibaribe, Brazil",-8.0128,-36.0578
4113405,"Willow Creek near Willow City, ND, United States",48.58,-100.44
6441107,"Rega River at Trzebiatow, Poland",54.06333333,15.26083333
6337508,"Fulda River at Rotenburg, Germany",51.004,9.72
5204170,"Namoi River at North Cuerindi, Australia",-30.679,150.778
4208325,"Toad River above Nonda Creek, Canada",58.855556,-125.38055
6172023,"Kasari River at Kasari, Estonia",58.726389,23.996944
4147491,"Housatonic River Gaylordsville, CT, United States",41.65,-73.49
1259090,"Gaaprivier at Holoog, Namibia",-27.433,17.967
