id,lat,lng,name,area
6401070,64.71072,-21.60337,"Nordhura River at Stekkur",507
6401080,64.69229,-21.41046,"Hvita River at Kljafoss",1574
6401090,63.93796,-21.00666,"Olfusa River at Selfoss",5662
6401111,64.1601,-20.55913,"Bruara River at Dynjandi",640
6401120,63.93362,-20.63135,"Thjorsa River at Krokur",7314
6401130,64.9839,-15.0883,"Jokulsa I River at Fljotsdal Holl",558
6401140,63.79723,-20.11284,"Eystri-Ranga River at Tungufoss",419
6401150,63.86324,-20.34065,"Ytri-Ranga River at Arbaejarfoss",621
6401160,64.75281,-14.48605,"Fossa River at Eyjolfsstadir",115
6401200,65.3297,-19.08525,"Vestri-Jokulsa River at Godhdala Bru",844
6401240,65.49006,-20.11284,"Blanda River at Langamyri",1699
6401250,65.30184,-20.10668,"Vatnsdalsa River at Forsaeludalur",458
6401300,66.06976,-21.75298,"Hvala River at Op",193
6401310,65.58876,-23.12719,"Vatnsdalsa River at Eidhi",102
6401400,65.8507,-17.89667,"Fnjoska River at Arbugsa",1102
6401440,63.78048,-19.4171,"Markarfljot River at Emstrur",517
6401460,66.19809,-15.59652,"Sanda River at Flogubru I",266
6401500,63.9509,-17.63609,"Djupa River at Djupa Bru",226
6401601,65.49459,-19.384,"Svarta River at Reykjafoss",396
6401610,65.37076,-17.34691,"Skjalfandafljot River at Aldeyjarfoss",2163
6401702,65.6233,-16.18933,"Jokulsa River at Grimsstadir",5097
6401703,65.06074,-16.21187,"Jokulsa River at  Upptyppingar",2023
6401800,65.50253,-14.36201,"Lagarfljot River at Lagarfoss",2819
